RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-03-31,2022-05-31,2023-02-28
394669,44,"Hartford, CT",Msa,CT,2022-02-28,1.2,4.9,14.5
395022,45,"Richmond, VA",Msa,VA,2022-02-28,1.2,4.3,14.5
394910,46,"New Orleans, LA",Msa,LA,2022-02-28,1.0,4.3,13.3
394425,47,"Buffalo, NY",Msa,NY,2022-02-28,1.7,5.6,17.4
395012,48,"Raleigh, NC",Msa,NC,2022-02-28,2.9,9.7,26.7
394388,49,"Birmingham, AL",Msa,AL,2022-02-28,1.5,5.4,16.5
395053,50,"Salt Lake City, UT",Msa,UT,2022-02-28,2.6,8.5,25.2
395031,51,"Rochester, NY",Msa,NY,2022-02-28,1.4,5.1,15.3
394640,52,"Grand Rapids, MI",Msa,MI,2022-02-28,1.7,5.5,17.8
395167,53,"Tucson, AZ",Msa,AZ,2022-02-28,2.6,7.5,22.4
753924,54,"Urban Honolulu, HI",Msa,HI,2022-02-28,1.7,5.5,14.8
395169,55,"Tulsa, OK",Msa,OK,2022-02-28,1.7,5.4,16.1
394619,56,"Fresno, CA",Msa,CA,2022-02-28,2.0,6.6,20.2
395238,57,"Worcester, MA",Msa,MA,2022-02-28,1.8,6.1,18.2
394415,58,"Stamford, CT",Msa,CT,2022-02-28,1.8,6.8,17.5
394312,59,"Albuquerque, NM",Msa,NM,2022-02-28,1.8,6.0,18.6
394308,60,"Albany, NY",Msa,NY,2022-02-28,1.0,4.1,13.4
394938,61,"Omaha, NE",Msa,NE,2022-02-28,1.5,4.8,15.8
394908,62,"New Haven, CT",Msa,CT,2022-02-28,2.3,7.1,18.5
394357,63,"Bakersfield, CA",Msa,CA,2022-02-28,2.1,6.9,20.3
394753,64,"Knoxville, TN",Msa,TN,2022-02-28,2.5,8.4,24.4
394653,65,"Greenville, SC",Msa,SC,2022-02-28,2.2,6.7,19.2
394952,66,"Ventura, CA",Msa,CA,2022-02-28,2.3,7.1,18.3
394318,67,"Allentown, PA",Msa,PA,2022-02-28,1.5,5.4,16.7
394561,68,"El Paso, TX",Msa,TX,2022-02-28,1.4,5.4,16.3
394367,69,"Baton Rouge, LA",Msa,LA,2022-02-28,1.5,4.9,12.4
394521,70,"Dayton, OH",Msa,OH,2022-02-28,2.1,6.2,18.6
394843,71,"McAllen, TX",Msa,TX,2022-02-28,1.5,5.2,16.3
394486,72,"Columbia, SC",Msa,SC,2022-02-28,2.0,6.4,18.0
394648,73,"Greensboro, NC",Msa,NC,2022-02-28,1.8,5.7,18.2
394304,74,"Akron, OH",Msa,OH,2022-02-28,1.4,5.0,15.4
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,2022-02-28,3.9,13.0,33.8
394798,76,"Little Rock, AR",Msa,AR,2022-02-28,1.1,4.3,13.7
395134,77,"Stockton, CA",Msa,CA,2022-02-28,2.1,7.0,21.1
394457,78,"Charleston, SC",Msa,SC,2022-02-28,2.6,8.5,22.5
395143,79,"Syracuse, NY",Msa,NY,2022-02-28,1.7,5.7,16.4
394484,80,"Colorado Springs, CO",Msa,CO,2022-02-28,1.6,6.0,20.8
395235,81,"Winston-Salem, NC",Msa,NC,2022-02-28,1.8,5.6,18.0
395224,82,"Wichita, KS",Msa,KS,2022-02-28,1.3,4.7,15.1
395115,83,"Springfield, MA",Msa,MA,2022-02-28,1.4,4.7,15.2
394440,84,"Fort Myers, FL",Msa,FL,2022-02-28,4.3,14.0,32.6
394399,85,"Boise City, ID",Msa,ID,2022-02-28,1.7,6.6,25.8
395160,86,"Toledo, OH",Msa,OH,2022-02-28,1.3,4.7,15.4
394816,87,"Madison, WI",Msa,WI,2022-02-28,1.6,5.2,15.7
394766,88,"Lakeland, FL",Msa,FL,2022-02-28,2.9,9.0,26.1
394931,89,"Ogden, UT",Msa,UT,2022-02-28,2.6,8.1,24.6
394528,90,"Daytona Beach, FL",Msa,FL,2022-02-28,2.5,8.1,25.3
394531,91,"Des Moines, IA",Msa,IA,2022-02-28,1.2,4.1,13.3
394711,92,"Jackson, MS",Msa,MS,2022-02-28,1.6,5.3,15.0
395245,93,"Youngstown, OH",Msa,OH,2022-02-28,1.7,6.1,18.7
394352,94,"Augusta, GA",Msa,GA,2022-02-28,1.7,5.6,17.2
395075,95,"Scranton, PA",Msa,PA,2022-02-28,1.6,5.7,18.3
394666,96,"Harrisburg, PA",Msa,PA,2022-02-28,1.5,5.0,14.9
394957,97,"Melbourne, FL",Msa,FL,2022-02-28,2.3,8.1,24.1
394460,98,"Chattanooga, TN",Msa,TN,2022-02-28,2.5,7.3,20.9
395113,99,"Spokane, WA",Msa,WA,2022-02-28,2.6,8.5,26.3
395006,100,"Provo, UT",Msa,UT,2022-02-28,2.1,8.2,24.2
394768,101,"Lancaster, PA",Msa,PA,2022-02-28,1.5,5.5,16.7
394871,102,"Modesto, CA",Msa,CA,2022-02-28,2.2,6.8,20.0
394997,103,"Portland, ME",Msa,ME,2022-02-28,1.5,6.1,20.6
394549,104,"Durham, NC",Msa,NC,2022-02-28,2.9,8.5,24.7
395068,105,"Santa Rosa, CA",Msa,CA,2022-02-28,1.9,6.6,17.0
394792,106,"Lexington, KY",Msa,KY,2022-02-28,1.6,5.2,15.8
394761,107,"Lafayette, LA",Msa,LA,2022-02-28,1.1,4.3,11.8
394770,108,"Lansing, MI",Msa,MI,2022-02-28,1.4,4.9,15.7
394590,109,"Fayetteville, AR",Msa,AR,2022-02-28,1.8,7.2,22.6
394971,110,"Pensacola, FL",Msa,FL,2022-02-28,2.1,7.2,22.3
395195,111,"Visalia, CA",Msa,CA,2022-02-28,1.3,5.3,17.8
395096,112,"Shreveport, LA",Msa,LA,2022-02-28,0.8,3.5,10.2
395116,113,"Springfield, MO",Msa,MO,2022-02-28,1.5,5.3,18.5
395244,114,"York, PA",Msa,PA,2022-02-28,1.5,4.7,14.8
394502,115,"Corpus Christi, TX",Msa,TX,2022-02-28,1.4,4.8,13.4
394596,116,"Flint, MI",Msa,MI,2022-02-28,1.7,5.6,18.8
395019,117,"Reno, NV",Msa,NV,2022-02-28,1.8,6.0,19.5
394338,118,"Asheville, NC",Msa,NC,2022-02-28,1.8,6.9,20.4
394995,119,"Port St. Lucie, FL",Msa,FL,2022-02-28,2.7,9.0,26.9
753917,120,"Santa Maria-Santa Barbara, CA",Msa,CA,2022-02-28,2.0,6.8,20.7
394698,121,"Huntsville, AL",Msa,AL,2022-02-28,2.0,6.7,21.1
394612,122,"Fort Wayne, IN",Msa,IN,2022-02-28,1.2,4.7,16.7
